GeneID	EACO	Pathway
LOCMI15805	Ea	Synthesis and degradation of ketone bodies:map00072
LOCMI15906	Ea	Synthesis and degradation of ketone bodies:map00072
LOCMI16092	Ea	Synthesis and degradation of ketone bodies:map00072
LOCMI16298	Ea	Synthesis and degradation of ketone bodies:map00072
LOCMI16359	Ea	Synthesis and degradation of ketone bodies:map00072
LOCMI16371	Ea	Synthesis and degradation of ketone bodies:map00072
LOCMI00700	Ea	Steroid biosynthesis:map00100
LOCMI11812	Ea	Steroid biosynthesis:map00100
LOCMI15888	Ea	Steroid biosynthesis:map00100
LOCMI15998	Ea	Steroid biosynthesis:map00100
LOCMI16140	Ea	Steroid biosynthesis:map00100
LOCMI16149	Ea	Steroid biosynthesis:map00100
LOCMI16161	Ea	Steroid biosynthesis:map00100
LOCMI16200	Ea	Steroid biosynthesis:map00100
LOCMI01211	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI03395	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI07176	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI07254	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI08078	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI09590	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI09826	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI11619	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI12565	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI13919	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI13973	Ea	Ubiquinone and other terpenoid-quinone biosynthesis:map00130
LOCMI00304	Ea	Oxidative phosphorylation:map00190
LOCMI05605	Ea	Oxidative phosphorylation:map00190
LOCMI06328	Ea	Oxidative phosphorylation:map00190
LOCMI07462	Ea	Oxidative phosphorylation:map00190
LOCMI08818	Ea	Oxidative phosphorylation:map00190
LOCMI11065	Ea	Oxidative phosphorylation:map00190
LOCMI11413	Ea	Oxidative phosphorylation:map00190
LOCMI11556	Ea	Oxidative phosphorylation:map00190
LOCMI13033	Ea	Oxidative phosphorylation:map00190
LOCMI13780	Ea	Oxidative phosphorylation:map00190
LOCMI13781	Ea	Oxidative phosphorylation:map00190
LOCMI15760	Ea	Oxidative phosphorylation:map00190
LOCMI15775	Ea	Oxidative phosphorylation:map00190
LOCMI15777	Ea	Oxidative phosphorylation:map00190
LOCMI15778	Ea	Oxidative phosphorylation:map00190
LOCMI15786	Ea	Oxidative phosphorylation:map00190
LOCMI15787	Ea	Oxidative phosphorylation:map00190
LOCMI15790	Ea	Oxidative phosphorylation:map00190
LOCMI15795	Ea	Oxidative phosphorylation:map00190
LOCMI15796	Ea	Oxidative phosphorylation:map00190
LOCMI15804	Ea	Oxidative phosphorylation:map00190
LOCMI15807	Ea	Oxidative phosphorylation:map00190
LOCMI15810	Ea	Oxidative phosphorylation:map00190
LOCMI15812	Ea	Oxidative phosphorylation:map00190
LOCMI15816	Ea	Oxidative phosphorylation:map00190
LOCMI15818	Ea	Oxidative phosphorylation:map00190
LOCMI15826	Ea	Oxidative phosphorylation:map00190
LOCMI15830	Ea	Oxidative phosphorylation:map00190
LOCMI15835	Ea	Oxidative phosphorylation:map00190
LOCMI15837	Ea	Oxidative phosphorylation:map00190
LOCMI15838	Ea	Oxidative phosphorylation:map00190
LOCMI15847	Ea	Oxidative phosphorylation:map00190
LOCMI15852	Ea	Oxidative phosphorylation:map00190
LOCMI15858	Ea	Oxidative phosphorylation:map00190
LOCMI15861	Ea	Oxidative phosphorylation:map00190
LOCMI15863	Ea	Oxidative phosphorylation:map00190
LOCMI15865	Ea	Oxidative phosphorylation:map00190
LOCMI15869	Ea	Oxidative phosphorylation:map00190
LOCMI15884	Ea	Oxidative phosphorylation:map00190
LOCMI15885	Ea	Oxidative phosphorylation:map00190
LOCMI15890	Ea	Oxidative phosphorylation:map00190
LOCMI15892	Ea	Oxidative phosphorylation:map00190
LOCMI15894	Ea	Oxidative phosphorylation:map00190
LOCMI15895	Ea	Oxidative phosphorylation:map00190
LOCMI15909	Ea	Oxidative phosphorylation:map00190
LOCMI15910	Ea	Oxidative phosphorylation:map00190
LOCMI15911	Ea	Oxidative phosphorylation:map00190
LOCMI15914	Ea	Oxidative phosphorylation:map00190
LOCMI15915	Ea	Oxidative phosphorylation:map00190
LOCMI15917	Ea	Oxidative phosphorylation:map00190
LOCMI15919	Ea	Oxidative phosphorylation:map00190
LOCMI15921	Ea	Oxidative phosphorylation:map00190
LOCMI15925	Ea	Oxidative phosphorylation:map00190
LOCMI15931	Ea	Oxidative phosphorylation:map00190
LOCMI15938	Ea	Oxidative phosphorylation:map00190
LOCMI15952	Ea	Oxidative phosphorylation:map00190
LOCMI15958	Ea	Oxidative phosphorylation:map00190
LOCMI15959	Ea	Oxidative phosphorylation:map00190
LOCMI15966	Ea	Oxidative phosphorylation:map00190
LOCMI15970	Ea	Oxidative phosphorylation:map00190
LOCMI15971	Ea	Oxidative phosphorylation:map00190
LOCMI15973	Ea	Oxidative phosphorylation:map00190
LOCMI15977	Ea	Oxidative phosphorylation:map00190
LOCMI15979	Ea	Oxidative phosphorylation:map00190
LOCMI15980	Ea	Oxidative phosphorylation:map00190
LOCMI15981	Ea	Oxidative phosphorylation:map00190
LOCMI15986	Ea	Oxidative phosphorylation:map00190
LOCMI15990	Ea	Oxidative phosphorylation:map00190
LOCMI15992	Ea	Oxidative phosphorylation:map00190
LOCMI15996	Ea	Oxidative phosphorylation:map00190
LOCMI15999	Ea	Oxidative phosphorylation:map00190
LOCMI16001	Ea	Oxidative phosphorylation:map00190
LOCMI16006	Ea	Oxidative phosphorylation:map00190
LOCMI16008	Ea	Oxidative phosphorylation:map00190
LOCMI16009	Ea	Oxidative phosphorylation:map00190
LOCMI16022	Ea	Oxidative phosphorylation:map00190
LOCMI16023	Ea	Oxidative phosphorylation:map00190
LOCMI16024	Ea	Oxidative phosphorylation:map00190
LOCMI16028	Ea	Oxidative phosphorylation:map00190
LOCMI16030	Ea	Oxidative phosphorylation:map00190
LOCMI16032	Ea	Oxidative phosphorylation:map00190
LOCMI16037	Ea	Oxidative phosphorylation:map00190
LOCMI16039	Ea	Oxidative phosphorylation:map00190
LOCMI16044	Ea	Oxidative phosphorylation:map00190
LOCMI16049	Ea	Oxidative phosphorylation:map00190
LOCMI16051	Ea	Oxidative phosphorylation:map00190
LOCMI16058	Ea	Oxidative phosphorylation:map00190
LOCMI16062	Ea	Oxidative phosphorylation:map00190
LOCMI16065	Ea	Oxidative phosphorylation:map00190
LOCMI16066	Ea	Oxidative phosphorylation:map00190
LOCMI16072	Ea	Oxidative phosphorylation:map00190
LOCMI16074	Ea	Oxidative phosphorylation:map00190
LOCMI16075	Ea	Oxidative phosphorylation:map00190
LOCMI16078	Ea	Oxidative phosphorylation:map00190
LOCMI16082	Ea	Oxidative phosphorylation:map00190
LOCMI16083	Ea	Oxidative phosphorylation:map00190
LOCMI16084	Ea	Oxidative phosphorylation:map00190
LOCMI16086	Ea	Oxidative phosphorylation:map00190
LOCMI16093	Ea	Oxidative phosphorylation:map00190
LOCMI16094	Ea	Oxidative phosphorylation:map00190
LOCMI16102	Ea	Oxidative phosphorylation:map00190
LOCMI16957	Ea	Oxidative phosphorylation:map00190
LOCMI00001	Ea	Purine metabolism:map00230
LOCMI00021	Ea	Purine metabolism:map00230
LOCMI00179	Ea	Purine metabolism:map00230
LOCMI00207	Ea	Purine metabolism:map00230
LOCMI00252	Ea	Purine metabolism:map00230
LOCMI00422	Ea	Purine metabolism:map00230
LOCMI00523	Ea	Purine metabolism:map00230
LOCMI00525	Ea	Purine metabolism:map00230
LOCMI00601	Ea	Purine metabolism:map00230
LOCMI00863	Ea	Purine metabolism:map00230
LOCMI01087	Ea	Purine metabolism:map00230
LOCMI01328	Ea	Purine metabolism:map00230
LOCMI01339	Ea	Purine metabolism:map00230
LOCMI01524	Ea	Purine metabolism:map00230
LOCMI01920	Ea	Purine metabolism:map00230
LOCMI01934	Ea	Purine metabolism:map00230
LOCMI02157	Ea	Purine metabolism:map00230
LOCMI02740	Ea	Purine metabolism:map00230
LOCMI02908	Ea	Purine metabolism:map00230
LOCMI03230	Ea	Purine metabolism:map00230
LOCMI03421	Ea	Purine metabolism:map00230
LOCMI03478	Ea	Purine metabolism:map00230
LOCMI03637	Ea	Purine metabolism:map00230
LOCMI03761	Ea	Purine metabolism:map00230
LOCMI03855	Ea	Purine metabolism:map00230
LOCMI03873	Ea	Purine metabolism:map00230
LOCMI03973	Ea	Purine metabolism:map00230
LOCMI04007	Ea	Purine metabolism:map00230
LOCMI04249	Ea	Purine metabolism:map00230
LOCMI04257	Ea	Purine metabolism:map00230
LOCMI04450	Ea	Purine metabolism:map00230
LOCMI04482	Ea	Purine metabolism:map00230
LOCMI04598	Ea	Purine metabolism:map00230
LOCMI04645	Ea	Purine metabolism:map00230
LOCMI04852	Ea	Purine metabolism:map00230
