Ensembl	symbol	GeneOntology
LOCMI15225	LOCMI15225	GO:0051716
LOCMI05065	LOCMI05065	GO:0051716
LOCMI16348	LOCMI16348	GO:0051716
LOCMI14784	LOCMI14784	GO:0051716
LOCMI07446	LOCMI07446	GO:0051716
LOCMI10957	LOCMI10957	GO:0051716
LOCMI03751	LOCMI03751	GO:0051716
LOCMI02419	LOCMI02419	GO:0005839
LOCMI11447	LOCMI11447	GO:0005839
LOCMI11441	LOCMI11441	GO:0005839
LOCMI16356	LOCMI16356	GO:0000166
LOCMI13712	LOCMI13712	GO:0000166
LOCMI12655	LOCMI12655	GO:0000166
LOCMI08176	LOCMI08176	GO:0000166
LOCMI07113	LOCMI07113	GO:0000166
LOCMI07977	LOCMI07977	GO:0000166
LOCMI17225	LOCMI17225	GO:0000166
LOCMI16406	LOCMI16406	GO:0000166
LOCMI16536	LOCMI16536	GO:0000166
LOCMI11510	LOCMI11510	GO:0000166
LOCMI13709	LOCMI13709	GO:0000166
LOCMI05460	LOCMI05460	GO:0000166
LOCMI17097	LOCMI17097	GO:0000166
LOCMI17096	LOCMI17096	GO:0000166
LOCMI12924	LOCMI12924	GO:0000166
LOCMI13596	LOCMI13596	GO:0000166
LOCMI16710	LOCMI16710	GO:0000166
LOCMI01274	LOCMI01274	GO:0000166
LOCMI08908	LOCMI08908	GO:0000166
LOCMI04174	LOCMI04174	GO:0000166
LOCMI00258	LOCMI00258	GO:0000166
LOCMI05458	LOCMI05458	GO:0000166
LOCMI17192	LOCMI17192	GO:0000166
LOCMI13302	LOCMI13302	GO:0000166
LOCMI04650	LOCMI04650	GO:0000166
LOCMI04253	LOCMI04253	GO:0000166
LOCMI10584	LOCMI10584	GO:0000166
LOCMI16872	LOCMI16872	GO:0000166
LOCMI11285	LOCMI11285	GO:0000166
LOCMI01885	LOCMI01885	GO:0000166
LOCMI16552	LOCMI16552	GO:0000166
LOCMI03981	LOCMI03981	GO:0000166
LOCMI03585	LOCMI03585	GO:0000166
LOCMI04889	LOCMI04889	GO:0000166
LOCMI06145	LOCMI06145	GO:0000166
LOCMI06665	LOCMI06665	GO:0000166
LOCMI15836	LOCMI15836	GO:0000166
LOCMI17189	LOCMI17189	GO:0000166
LOCMI16516	LOCMI16516	GO:0000166
LOCMI16044	LOCMI16044	GO:0000166
LOCMI06569	LOCMI06569	GO:0000166
LOCMI08190	LOCMI08190	GO:0000166
LOCMI03236	LOCMI03236	GO:0000166
LOCMI16866	LOCMI16866	GO:0000166
LOCMI03157	LOCMI03157	GO:0000166
LOCMI05985	LOCMI05985	GO:0000166
LOCMI15947	LOCMI15947	GO:0000166
LOCMI12121	LOCMI12121	GO:0000166
LOCMI08154	LOCMI08154	GO:0000166
LOCMI15975	LOCMI15975	GO:0000166
LOCMI16636	LOCMI16636	GO:0000166
LOCMI10957	LOCMI10957	GO:0000166
LOCMI15911	LOCMI15911	GO:0009199
LOCMI01274	LOCMI01274	GO:0009199
LOCMI06569	LOCMI06569	GO:0009199
LOCMI03943	LOCMI03943	GO:0016459
LOCMI03264	LOCMI03264	GO:0016459
LOCMI10584	LOCMI10584	GO:0016459
LOCMI03563	LOCMI03563	GO:0016459
LOCMI16292	LOCMI16292	GO:0017171
LOCMI07572	LOCMI07572	GO:0017171
LOCMI06127	LOCMI06127	GO:0017171
LOCMI04649	LOCMI04649	GO:0017171
LOCMI08332	LOCMI08332	GO:0017171
LOCMI05772	LOCMI05772	GO:0017171
